"";"MSE Médio - Treinamento";"Desvio Padrão - Treinamento";"MSE Médio - Teste";"Desvio Padrão - Teste"
"5";0,816823124885559;0,0650184043163368;0,0712126601022417;0,00596444835625409
"10";0,567224532365799;0,197472814840724;0,0594302853922186;0,00187212134065952
"20";0,341111552715302;0,025163003508138;0,0636956918212169;0,00282518426594404
"40";0,240712109208107;0,0359581701268586;0,0702388752661519;0,00884698390436369
