"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"0";0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522;0,347826086956522
"0.1";0,678260869565217;0,7;0,7;0,68695652173913;0,68695652173913;0,68695652173913;0,678260869565217;0,678260869565217;0,673913043478261;0,682608695652174
"0.2";0,68695652173913;0,682608695652174;0,673913043478261;0,678260869565217;0,7;0,704347826086956;0,7;0,71304347826087;0,704347826086957;0,717391304347826
"0.3";0,68695652173913;0,673913043478261;0,691304347826087;0,704347826086957;0,708695652173913;0,726086956521739;0,726086956521739;0,71304347826087;0,71304347826087;0,717391304347826
"0.4";0,665217391304348;0,691304347826087;0,717391304347826;0,726086956521739;0,726086956521739;0,734782608695652;0,739130434782609;0,726086956521739;0,721739130434783;0,71304347826087
"0.5";0,652173913043478;0,7;0,734782608695652;0,730434782608696;0,734782608695652;0,739130434782609;0,730434782608696;0,717391304347826;0,717391304347826;0,708695652173913
"0.6";0,652173913043478;0,68695652173913;0,717391304347826;0,726086956521739;0,726086956521739;0,717391304347826;0,717391304347826;0,71304347826087;0,708695652173913;0,704347826086957
"0.7";0,626086956521739;0,691304347826087;0,71304347826087;0,726086956521739;0,721739130434783;0,717391304347826;0,71304347826087;0,7;0,708695652173913;0,708695652173913
"0.8";0,617391304347826;0,68695652173913;0,708695652173913;0,721739130434783;0,717391304347826;0,71304347826087;0,7;0,704347826086957;0,7;0,7
"0.9";0,626086956521739;0,673913043478261;0,704347826086957;0,708695652173913;0,704347826086957;0,7;0,7;0,695652173913043;0,695652173913043;0,695652173913043
"1";0,626086956521739;0,665217391304348;0,68695652173913;0,695652173913043;0,68695652173913;0,68695652173913;0,678260869565217;0,678260869565217;0,678260869565217;0,669565217391304
