"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"0";0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623;0,643979057591623
"0.1";0,209424083769634;0,195811518324607;0,191099476439791;0,182198952879581;0,178534031413613;0,176439790575916;0,168586387434555;0,16020942408377;0,156020942408377;0,145549738219895
"0.2";0,192670157068063;0,168586387434555;0,159162303664921;0,145026178010471;0,128272251308901;0,113612565445026;0,10261780104712;0,0947643979057592;0,0900523560209424;0,0884816753926702
"0.3";0,173821989528796;0,153926701570681;0,120418848167539;0,101047120418848;0,0884816753926702;0,0827225130890052;0,0801047120418848;0,0785340314136126;0,0769633507853403;0,0706806282722513
"0.4";0,165968586387435;0,126701570680628;0,0916230366492147;0,0806282722513089;0,0769633507853403;0,0732984293193717;0,0659685863874346;0,0643979057591623;0,0617801047120419;0,0581151832460733
"0.5";0,150785340314136;0,103664921465969;0,0827225130890052;0,0790575916230366;0,0685863874345549;0,0643979057591623;0,0591623036649215;0,0528795811518325;0,0492146596858639;0,0455497382198953
"0.6";0,13979057591623;0,0931937172774869;0,0795811518324607;0,0701570680628272;0,0607329842931937;0,0534031413612566;0,0439790575916231;0,0392670157068063;0,0361256544502618;0,0329842931937173
"0.7";0,13455497382199;0,0853403141361257;0,0727748691099476;0,0612565445026178;0,0502617801047121;0,0387434554973822;0,0356020942408377;0,0319371727748691;0,0303664921465969;0,0287958115183246
"0.8";0,127748691099476;0,0785340314136126;0,0659685863874345;0,0502617801047121;0,0382198952879581;0,0345549738219895;0,0308900523560209;0,0287958115183246;0,0277486910994765;0,0256544502617801
"0.9";0,118848167539267;0,0764397905759162;0,0575916230366492;0,0397905759162304;0,0345549738219895;0,0303664921465969;0,0287958115183246;0,0267015706806283;0,025130890052356;0,0235602094240838
"1";0,11151832460733;0,0722513089005236;0,0502617801047121;0,0356020942408377;0,0308900523560209;0,0272251308900524;0,025130890052356;0,0246073298429319;0,0240837696335078;0,0225130890052356
