"1";"2";"3";"4";"5";"6";"7";"8";"9";"10"
"0";0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183;0,644970414201183
"0.1";0,20887573964497;0,194674556213018;0,187573964497041;0,178698224852071;0,175147928994083;0,171005917159763;0,165680473372781;0,159171597633136;0,150295857988166;0,140828402366864
"0.2";0,191715976331361;0,171597633136095;0,155621301775148;0,138461538461538;0,12603550295858;0,109467455621302;0,0982248520710059;0,0899408284023669;0,0857988165680473;0,0804733727810651
"0.3";0,175739644970414;0,143786982248521;0,114201183431953;0,0952662721893491;0,0863905325443787;0,0775147928994083;0,0757396449704142;0,072189349112426;0,0698224852071006;0,0680473372781065
"0.4";0,163905325443787;0,120710059171598;0,093491124260355;0,078698224852071;0,0733727810650888;0,0680473372781065;0,063905325443787;0,0627218934911243;0,0603550295857988;0,0585798816568047
"0.5";0,151479289940828;0,103550295857988;0,0792899408284024;0,072189349112426;0,0656804733727811;0,0609467455621302;0,057396449704142;0,0532544378698225;0,049112426035503;0,0455621301775148
"0.6";0,135502958579882;0,08698224852071;0,072189349112426;0,0680473372781065;0,0585798816568047;0,0538461538461538;0,0473372781065089;0,0402366863905326;0,036094674556213;0,0325443786982249
"0.7";0,125443786982249;0,0804733727810651;0,0692307692307692;0,0591715976331361;0,0514792899408284;0,0414201183431953;0,0343195266272189;0,0307692307692308;0,0272189349112426;0,0260355029585799
"0.8";0,116568047337278;0,0757396449704142;0,0650887573964497;0,0532544378698225;0,0396449704142012;0,0325443786982249;0,0284023668639053;0,0260355029585799;0,0248520710059171;0,0236686390532544
"0.9";0,110650887573965;0,0733727810650888;0,0603550295857988;0,0420118343195266;0,0313609467455621;0,027810650887574;0,0254437869822485;0,0242603550295858;0,0230769230769231;0,0218934911242603
"1";0,107100591715976;0,0686390532544379;0,0508875739644971;0,0325443786982248;0,027810650887574;0,0254437869822485;0,0230769230769231;0,0224852071005917;0,021301775147929;0,0207100591715976
